name,sex,count,year
Emma,F,20941,2014
Olivia,F,19817,2014
Sophia,F,18628,2014
Isabella,F,17102,2014
Ava,F,15708,2014
Mia,F,13516,2014
Emily,F,12650,2014
Abigail,F,12093,2014
Madison,F,10323,2014
Charlotte,F,10117,2014
Harper,F,9609,2014
Sofia,F,9599,2014
Avery,F,9573,2014
Elizabeth,F,9571,2014
Amelia,F,8798,2014
Evelyn,F,8747,2014
Ella,F,8560,2014
Chloe,F,8543,2014
Victoria,F,7998,2014
Grace,F,7645,2014
Aubrey,F,7628,2014
Zoey,F,7421,2014
Natalie,F,7109,2014
Addison,F,6994,2014
Lillian,F,6919,2014
Brooklyn,F,6822,2014
Lily,F,6777,2014
Hannah,F,6585,2014
Layla,F,6454,2014
Scarlett,F,6006,2014
Aria,F,5925,2014
Zoe,F,5878,2014
Samantha,F,5730,2014
Anna,F,5694,2014
Leah,F,5607,2014
Audrey,F,5565,2014
Ariana,F,5496,2014
Savannah,F,5476,2014
Allison,F,5473,2014
Arianna,F,5270,2014
Camila,F,5219,2014
Gabriella,F,5102,2014
Penelope,F,5086,2014
Claire,F,5014,2014
Aaliyah,F,4890,2014
Sadie,F,4864,2014
Riley,F,4795,2014
Skylar,F,4771,2014
Nora,F,4739,2014
Sarah,F,4704,2014
Hailey,F,4615,2014
Kaylee,F,4543,2014
Paisley,F,4495,2014
Kennedy,F,4493,2014
Ellie,F,4483,2014
Peyton,F,4447,2014
Annabelle,F,4358,2014
Caroline,F,4345,2014
Serenity,F,4338,2014
Madelyn,F,4310,2014
Lucy,F,4296,2014
Aubree,F,4272,2014
Alexa,F,4248,2014
Nevaeh,F,4242,2014
Alexis,F,4239,2014
Stella,F,4199,2014
Violet,F,4186,2014
Genesis,F,4165,2014
Mackenzie,F,4153,2014
Bella,F,4093,2014
Autumn,F,4070,2014
Mila,F,4059,2014
Kylie,F,3960,2014
Maya,F,3950,2014
Piper,F,3866,2014
Alyssa,F,3834,2014
Taylor,F,3812,2014
Eleanor,F,3737,2014
Faith,F,3726,2014
Naomi,F,3710,2014
