ID,References,Author,Climate,Name,Outlet Name,Yrs,Size(km2),L(km),RD(mm),QA,Rc,TSSC(mg/L),TSSL(g m-2 a-1),POCC ,DOCC ,PICC ,DICC ,TOCC (mg/L),POCL,DOCL,PICL,DICL,TOCL (g m-2 a-1),Total Rainfall,MAP,MAT,S,LAT,LONG,LU,Vc(%),RSCI(%),SOC(%),BD(g/cm3),CLAY(%),SILT(%),
1,1,Chen et al. 2005,Semiarid,Daheihe River,Togtoh(1956-1980),25,17700 ,236,24 ,13.63521055,0.060734463,,338.983 ,,,,,,,,,,,400,400,4.5,2.07627119,40.25,111.15,Agriculture,,,1,1.2901,,,
2,1,Chen et al. 2005,Semiarid,Dawenhe River,Dongping(1956-1980),25,9100 ,239,200 ,57.71182141,0.307692308,,219.780 ,,,,,,,,,,,650,650,13,1.29707113,35.92,116.36,Agriculture,,,0.7,1.333935351,,,
3,1,Chen et al. 2005,Semiarid,Fenhe River,Hejin(1956-1980),25,39500 ,694,36 ,45.66210046,0.068784332,,708.861 ,,,,,,,,,,,530,530,9,2.34870317,35.52,110.63,Agriculture,21.79,,0.65,1.34304322,,,
4,1,Chen et al. 2005,Semiarid,Huangshui River,Yongjing(1956-1980),25,32900 ,374,141 ,147.4505327,0.281548578,,729.483 ,,,,,,,,,,,502,502,4.2,3.74331551,36.15,103.31,Agriculture,,,,,,,
5,1,Chen et al. 2005,Semiarid,Kushuihe River,Lingwu(1956-1980),25,2500 ,224,8 ,0.5945586,0.03,,577.000 ,,,,,,,,,,,250,250,9,0.75892857,38.29,106.35,Grassland,,,0.5,1.57,5,6,
6,1,Chen et al. 2005,Semiarid,Kuyehe River,Wenjiachuan(1956-1980),25,8700 ,242,86 ,23.78234399,0.215517241,,15632.184 ,,,,,,,,,,,400,400,7.5,2.89256198,38.47,110.76,Grassland,16.06,,0.4524,1.387582871,,,
7,1,Chen et al. 2005,Semiarid,Luohe River,Gongyi(1956-1980),25,18900 ,447,181 ,108.7645865,0.32996633,,952.381 ,,,,,,,,,,,550,550,13,2.66219239,34.82,113.07,Agriculture,,,0.7,1.333935351,,,
8,1,Chen et al. 2005,Semiarid,Qingshuihe River,Zhongning(1956-1980),25,14500 ,320,8 ,3.805175038,0.02364532,,1724.138 ,,,,,,,,,,,350,350,5.5,1.75,37.39,105.64,Grassland,,,0.8758,1.306398694,21,43,
9,1,Chen et al. 2005,Semiarid,Qinhe River,Wuzhi(1956-1980),25,12900 ,485,138 ,56.44342973,0.214929122,,542.636 ,,,,,,,,,,,642,642,12,3.09278351,35.01,113.43,Agriculture,,,0.7,1.333935351,,,
10,1,Chen et al. 2005,Semiarid,Taohe River,Yongjing(1956-1980),25,25500 ,673,208 ,168.0618975,0.34468182,,1137.255 ,,,,,,,,,,,603,603,7.5,2.79346211,35.92,103.38,Grassland,,,0.85,1.310073576,,,
11,1,Chen et al. 2005,Semiarid,Weihe River,Tongguan(1956-1980),25,134800 ,818,42 ,179.5281583,0.066772655,,1268.546 ,,,,,,,,,,,629,629,9.5,3.02200489,34.64,110.18,Agriculture,17.78,,0.65,1.34304322,,,
12,1,Chen et al. 2005,Semiarid,Wudinghe River,Qingjian(1956-1980),25,30300 ,491,46 ,44.39370878,0.115511551,,7161.716 ,,,,,,,,,,,400,400,8,3.01652893,37.05,110.44,Agriculture,14.62,,0.4542,1.387094849,,,
13,1,Chen et al. 2005,Semiarid,Zulihe River,Jingyuan(1956-1980),25,10700 ,224,13 ,4.439370878,0.043613707,,5794.393 ,,,,,,,,,,,300,300,7.5,4.46428571,36.57,104.65,Grassland,,,0.5,1.375287788,21,43,
14,2,Chenji Xie. 2014,Humid subtropical,Dongjiang River,Boluo(2011),1,25300 ,562,825 ,661.8626332,0.59,,,,,,,,,0.85770751,,4.150197628,0.85770751,1401.4,1401.4,20,0.39,23.17,114.29,Forest,,75,,,,,
15,3,Gao et al. 2000,Humid subtropical,Xijiang River,Makou(1997-1998),1,353120 ,2214,651 ,7293,0.4008087,,,,,,,,8.297462619,1.880380607,,,10.16651563,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
16,4,Gao et al. 2001,Humid subtropical,Beijiang River,Sanshui(1997-1998),1,46710 ,468,1092 ,1617,0.610746109,,,,,,,,6.540355384,3.468208092,,,10.00856348,1787.5,1787.5,20,1.0491453,23.17,112.83,Forest,,,,,,,
17,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(July 1997),1,353120 ,2214,,,,1296.94,,24.74,4.6,,,29.34,8.297462619,10.47568192,,,10.16651563,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
18,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(October 1997),1,353120 ,2214,,,,163.33,,3.02,1.36,,,4.38,5.016538831,2.25910358,,,7.275642411,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
19,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(February 1998),1,353120 ,2214,268 ,3000,0.164874002,19.56,,0.71,1.02,,,1.73,0.19022338,0.273278659,,,0.463502039,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
20,5,Gao et al. 2002,Humid subtropical,Xijiang River,Makou(April 1998),1,353120 ,2214,357 ,4000,0.219832003,26.07,,0.58,1.12,,,1.7,0.207191663,0.400094246,,,0.607285908,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
21,6,Gao et al. 2007,Humid subtropical,Zengjiang River,Qilinzui(2002-2003),1,2866 ,230,1331 ,121,0.608511056,64,85.211 ,209.6698051,,,,,0.800069784,,,,0.800069784,2188,2188,21.6,1.93043478,23.29,113.84,Forest,50,,1.1368,1.274342094,21,50,
22,7,Gao et al. 2015,Humid subtropical,Hanjiang River,Huangzhuang(1990-2010),21,142056 ,1577,352 ,1585.607306,0.391111111,209.9844108,73.915 ,,,,,,,,,,,900,900,15,0.60621433,31.08,112.53,Forest,,55,,,,,
23,7,Gao et al. 2015,Humid continental,Jailingjiang River,Beibei(2000-2010),11,156700 ,1119,416 ,2067.072552,0.431088083,460.213048,191.449 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,39.18,9.3,,,,,
24,7,Gao et al. 2015,Highlands,Jinshajiang River,Pingshan(2000-2010),11,485000 ,2316,318 ,4890.601218,0.447887324,1202.749141,382.474 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,20.08,5.6,,,,,
25,7,Gao et al. 2015,Highlands,Minjiang River(Sichuan),Gaochang(1990-2010),21,125400 ,735,649 ,2580.688737,0.599261311,405.4821182,263.158 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,,1.75,,,,,
26,7,Gao et al. 2015,Humid subtropical,Wujiang River,Wulong(2005-2010),6,83035 ,1037,600 ,1579.813546,0.517241379,180.6467152,108.388 ,,,,,,,,,,,1160,1160,15,1.70684667,29.5,107.48,Forest,,9.57,,,,,
27,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(1956?1969),14,485000 ,2316,310 ,4765.875507,0.436464789,1543.613913,478.351 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,,0.5,,,,,
28,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(1970-1985),16,485000 ,2316,275 ,4229.293506,0.387323944,1694.470478,465.979 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,,1,,,,,
29,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(1986-2002),17,485000 ,2316,313 ,4813.704972,0.44084507,1811.534534,567.010 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,10.1,2,,,,,
30,7,Gao et al. 2015,Highlands,Yangtze River,Pingshan(2003-2010),8,485000 ,2316,301 ,4629.153983,0.423943662,1034.352844,311.340 ,,,,,,,,,,,710,710,8,1.30111111,28.65,104.38,Grassland,,5.6,,,,,
