"region","county","state","msa","pmsa","pop.density","pop","pop.change","age6574","age75","crime","college","income","farm","democrat","republican","Perot","white","black","turnout"
"South","Autauga","AL",5240,NA,61,34222,11.89999962,5.699999809,4.099999905,4996,14.5,32240,1.799999952,30.89999962,55.90000153,12.30000019,79.31739807,20.00175285,45.5408783
"South","Baldwin","AL",5160,NA,67,98280,35.40000153,9.199999809,6,3329,16.79999924,30199,1.700000048,26.20000076,56.5,16.5,86.04497528,12.86121273,47.28937912
"South","Barbour","AL",NA,NA,29,25417,2,8.199999809,6.400000095,3192,11.80000019,23838,2.400000095,46.40000153,42.90000153,9.800000191,55.54550171,44.04138947,41.03946304
"South","Bibb","AL",NA,NA,28,16576,9.199999809,6.699999809,6,0,4.699999809,23714,0.899999976,43.20000076,46.5,10.19999981,78.74034882,20.9821434,40.54053879
"South","Blount","AL",1000,NA,62,39248,10.60000038,7.400000095,5.599999905,2052,7,26323,4.699999809,32.90000153,53.79999924,11.80000019,97.8317337,1.327456117,42.05309677
"South","Bullock","AL",NA,NA,18,11042,3.700000048,8.5,7.599999905,3630,10,17796,2.599999905,67.69999695,26,5.5,27.49501991,72.32385254,43.61528778
"South","Butler","AL",NA,NA,28,21892,0.100000001,8.800000191,8,3530,8,21499,3.5,47.40000153,41.20000076,10.19999981,59.60625076,40.18819809,38.72647476
"South","Calhoun","AL",450,NA,191,116034,-2.799999952,7.400000095,5,4174,14.19999981,28340,0.699999988,38.40000153,48.20000076,11,80.03947449,18.59627342,36.88574219
"South","Chambers","AL",NA,NA,62,36876,-6,9.199999809,7.699999809,3173,8.899999619,26331,1.200000048,45.40000153,43.40000153,10.89999962,63.93046951,35.85258865,35.50005341
"South","Cherokee","AL",NA,NA,36,19543,5.900000095,8.899999619,5.800000191,3223,6.699999809,24932,3.900000095,53.59999847,34.90000153,10.69999981,92.89259338,6.605946064,40.30087662
"South","Chilton","AL",NA,NA,48,32458,8.5,7.800000191,6.099999905,3367,7.5,26203,3,34.20000076,56.20000076,9.399999619,88.25867462,11.31924343,44.57452774
"South","Choctaw","AL",NA,NA,18,16018,-4.199999809,7.5,6.400000095,419,8.5,23609,3.400000095,52.09999847,40.59999847,6.5,55.64365005,44.18154526,47.19690323
"South","Clarke","AL",NA,NA,22,27240,0.100000001,7.099999905,6,3828,10.80000019,23080,1.700000048,42.90000153,46.90000153,7.400000095,57.00073242,42.67621231,43.01395035
"South","Clay","AL",NA,NA,22,13252,-2.700000048,8.600000381,8.300000191,298,7.300000191,24145,4.199999809,36,49.70000076,11.30000019,83.33836365,16.34470177,43.42740631
"South","Cleburne","AL",NA,NA,23,12730,3.099999905,7.699999809,5.699999809,1623,6.5,25900,4.699999809,40.90000153,46.29999924,12,94.92537689,4.611154556,41.1390419
"South","Coffee","AL",NA,NA,61,40240,6.800000191,7.599999905,5.599999905,2582,16.5,27653,3.5,37.20000076,48.90000153,13,81.26739502,17.18936348,38.60089493
"South","Colbert","AL",2650,NA,88,51666,-3.799999952,9,5.699999809,3441,11.5,27862,1.399999976,54.40000153,36,9.300000191,82.87848663,16.58343887,43.4308815
"South","Conecuh","AL",NA,NA,17,14054,-11.19999981,9.300000191,8,2306,6.400000095,21231,2.599999905,50,39.09999847,8.800000191,57.37156677,42.15881729,44.87690353
"South","Coosa","AL",NA,NA,17,11063,-2.599999905,8.300000191,6.199999809,3019,6.300000191,23472,4.300000191,48.59999847,41.09999847,9.899999619,65.46144867,34.18602371,43.36979294
"South","Covington","AL",NA,NA,36,36478,-0.200000003,9.5,7.699999809,6519,9.100000381,23257,4,35.79999924,49,13.5,86.4932251,13.09556484,38.2751236
"South","Crenshaw","AL",NA,NA,22,13635,-4.599999905,10,8.300000191,2114,8.399999619,21368,6.599999905,45.40000153,44.20000076,9.199999809,73.69270325,25.99193192,38.79721451
"South","Cullman","AL",NA,NA,94,67613,13.19999981,8.199999809,6.199999809,2390,7.800000191,25856,4.199999809,36,49.59999847,14.19999981,98.71474457,0.828243077,42.95475769
"South","Dale","AL",2180,NA,89,49633,4.400000095,5.5,3.900000095,2242,13.5,27585,1.5,32.29999924,51.5,15.30000019,79.31214905,17.82483482,31.80746651
