"Day"	"Cage"	"trt"	"Response"
"1"	16	1	"T2"	40
"2"	16	2	"T3"	37
"3"	17	1	"T2"	34
"4"	17	2	"T3"	39
"5"	18	1	"T2"	42
"6"	18	2	"T3"	41
"7"	19	1	"T3"	42
"8"	19	2	"T3"	39
"9"	20	1	"T1"	41
"10"	20	2	"T2"	32
"11"	21	1	"T2"	41
"12"	21	2	"T3"	39
"13"	22	1	"T3"	40
"14"	22	2	"T2"	37
"15"	23	1	"T1"	40
"16"	23	2	"T3"	37
"17"	24	1	"T2"	36
"18"	24	2	"T2"	41
"19"	25	1	"T2"	38
"20"	25	2	"T1"	34
"21"	26	1	"T3"	29
"22"	26	2	"T1"	37
"23"	27	1	"T3"	39
"24"	27	2	"T1"	36
"25"	28	1	"T1"	39
"26"	28	2	"T3"	39
"27"	29	1	"T2"	33
"28"	29	2	"T3"	39
"29"	30	1	"T1"	42
"30"	30	2	"T2"	42
